brokerage_id	name	section	row	ticket_price	p	 	compared
9325	Eventellect	51 Field	B	2862.86	2665		0.93
9325	Eventellect	51 Field	D	2624.29	2444		0.93
9325	Eventellect	51 Field	E	2552.72	2377		0.93
9325	Eventellect	51 LR	A	1355.36	1263		0.93
9325	Eventellect	51 LR	B	1192.72	1111		0.93
9325	Eventellect	52 Field	A	2834.01	2638		0.93
9325	Eventellect	52 Field	AA	4450.51	4143		0.93
9325	Eventellect	52 Field	B	2507.01	2334		0.93
9325	Eventellect	52 Field	E	2332.60	2171		0.93
9325	Eventellect	52 LR	A	1345.72	1254		0.93
9325	Eventellect	53 Field	A	3101.43	2888		0.93
9325	Eventellect	53 Field	AA	4837.51	4502		0.93
9325	Eventellect	53 Field	B	2624.29	2444		0.93
9325	Eventellect	53 Field	D	2505.01	2332		0.93
9325	Eventellect	54 UR	FF	1084.29	1010		0.93
9325	Eventellect	56 LR	A	1401.79	1306		0.93
9325	Eventellect	56 LR	B	1233.58	1149		0.93
9325	Eventellect	6 Field	B	6678.58	6215		0.93
9325	Eventellect	6 Field	C	6557.15	6102		0.93
9325	Eventellect	6 Field	E	6375.01	5933		0.93
9325	Eventellect	6 Field	G	6192.86	5763		0.93
9325	Eventellect	6 Field	L	5537.15	5153		0.93
9325	Eventellect	6 Field Club	BB	18750.00	17450		0.93
9325	Eventellect	6 IR	A	2427.86	2260		0.93
9325	Eventellect	6 IR	C	1962.72	1828		0.93
9325	Eventellect	6 TD	A	1390.72	1295		0.93
9325	Eventellect	60 LR	A	1345.72	1254		0.93
9325	Eventellect	60 LR	B	1177.50	1097		0.93
9325	Eventellect	7 Field	B	6617.86	6159		0.93
9325	Eventellect	7 Field	C	6557.15	6102		0.93
9325	Eventellect	7 Field	D	6375.01	5933		0.93
9325	Eventellect	7 Field	F	6192.86	5763		0.93
9325	Eventellect	7 Field	L	5808.58	5406		0.93
9325	Eventellect	7 Field	O	5645.72	5255		0.93
9325	Eventellect	7 IR	A	2522.15	2349		0.93
9325	Eventellect	7 TD	A	1416.00	1319		0.93
9325	Eventellect	8 Field	A	8500.00	7910		0.93
9325	Eventellect	8 Field	B	6678.58	6215		0.93
9325	Eventellect	8 Field	C	6678.58	6215		0.93
9325	Eventellect	8 Field	F	6253.58	5820		0.93
9325	Eventellect	8 Field	J	5971.43	5558		0.93
9325	Eventellect	8 Field	M	5645.72	5255		0.93
9325	Eventellect	8 Field Club	AA	19500.00	18147		0.93
9325	Eventellect	8 IR	A	2357.15	2195		0.93
9325	Eventellect	8 IR	B	1962.72	1828		0.93
9325	Eventellect	8 IR	E	1873.50	1744		0.93
9325	Eventellect	8 TD	A	1452.00	1352		0.93
9325	Eventellect	8 TD	B	1270.50	1184		0.93
9325	Eventellect	9 Field	G	6253.58	5820		0.93
9325	Eventellect	9 Field	J	5971.43	5558		0.93
9325	Eventellect	9 Field	O	5591.43	5204		0.93
9325	Eventellect	9 IR	A	2475.00	2305		0.93
9325	Eventellect	9 IR	B	2141.15	1994		0.93
9325	Eventellect	9 IR	D	1962.72	1828		0.93
9325	Eventellect	9 TD	A	1452.00	1352		0.93
9325	Eventellect	All You Can Eat Pavilion 302	A	3360.01	3128		0.93
9325	Eventellect	All You Can Eat Pavilion 302	F	1962.72	1828		0.93
9325	Eventellect	All You Can Eat Pavilion 304	A	3500.01	3258		0.93
9325	Eventellect	All You Can Eat Pavilion 304	B	2051.93	1910		0.93
9325	Eventellect	All You Can Eat Pavilion 306	A	3220.01	2997		0.93
9325	Eventellect	All You Can Eat Pavilion 306	B	1962.72	1828		0.93
9325	Eventellect	All You Can Eat Pavilion 308	A	3080.01	2867		0.93
9325	Eventellect	All You Can Eat Pavilion 308	B	1962.72	1828		0.93
9325	Eventellect	All You Can Eat Pavilion 310	A	2940.01	2737		0.93
9325	Eventellect	All You Can Eat Pavilion 310	B	1873.50	1744		0.93
9325	Eventellect	All You Can Eat Pavilion 312	A	2940.01	2737		0.93
9325	Eventellect	All You Can Eat Pavilion 312	B	1962.72	1828		0.93
9325	Eventellect	All You Can Eat Pavilion 314	A	2800.01	2606		0.93
9325	Eventellect	All You Can Eat Pavilion 314	B	1873.50	1744		0.93
9325	Eventellect	131	16	210.38	198		0.94
9325	Eventellect	131	21	210.38	198		0.94
9325	Eventellect	131	27	202.13	190		0.94
9325	Eventellect	216	10	300.00	283		0.94
9325	Eventellect	216	9	300.00	283		0.94
9325	Eventellect	222	10	300.00	283		0.94
9325	Eventellect	223	9	345.00	326		0.94
9325	Eventellect	225	5	345.00	326		0.94
9325	Eventellect	226	7	336.00	317		0.94
9325	Eventellect	227	4	336.00	317		0.94
9325	Eventellect	227	5	324.00	306		0.94
9325	Eventellect	227	7	324.00	306		0.94
9325	Eventellect	228	11	300.00	283		0.94
9325	Eventellect	228	3	324.00	306		0.94
9325	Eventellect	228	4	324.00	306		0.94
9325	Eventellect	228	9	300.00	283		0.94
9325	Eventellect	1 Field Club	HH	10266.67	9777		0.95
9325	Eventellect	1 IR	A	1846.00	1759		0.95
9325	Eventellect	1 IR	E	1499.60	1429		0.95
9325	Eventellect	1 IR	G	1337.07	1274		0.95
9325	Eventellect	1 TD	A	1108.34	1056		0.95
9325	Eventellect	1 TD	B	975.34	929		0.95
9325	Eventellect	1 TD	D	931.00	888		0.95
9325	Eventellect	10 Field	A	4836.00	4606		0.95
9325	Eventellect	10 Field	B	3980.40	3792		0.95
9325	Eventellect	10 Field	D	3906.00	3720		0.95
9325	Eventellect	10 Field	E	3906.00	3720		0.95
9325	Eventellect	10 Field	J	3622.67	3450		0.95
9325	Eventellect	10 Field	L	3359.20	3200		0.95
9325	Eventellect	10 IR	A	1231.67	1173		0.95
9325	Eventellect	10 IR	B	1083.87	1033		0.95
9325	Eventellect	10 TD	A	837.20	798		0.95
9325	Eventellect	101 Loge	G	2420.00	2306		0.95
9325	Eventellect	102 Loge	M	2464.00	2348		0.95
9325	Eventellect	103 Loge	B	2640.00	2515		0.95
9325	Eventellect	104 Loge	C	2640.00	2515		0.95
9325	Eventellect	104 Loge	E	2530.00	2411		0.95
9325	Eventellect	104 Loge	O	2354.00	2242		0.95
9325	Eventellect	105 Loge	A	3410.00	3248		0.95
9325	Eventellect	105 Loge	D	2640.00	2515		0.95
9325	Eventellect	106 Loge	B	2640.00	2515		0.95
9325	Eventellect	109 Loge	G	2420.00	2306		0.95
9325	Eventellect	11 Field	D	3980.40	3792		0.95
9325	Eventellect	11 Field	M	3359.20	3200		0.95
9325	Eventellect	11 IR	A	1308.67	1247		0.95
9325	Eventellect	11 IR	B	1157.67	1103		0.95
9325	Eventellect	11 IR	D	1097.27	1046		0.95
9325	Eventellect	11 TD	A	837.20	798		0.95
9325	Eventellect	111 Loge	A	3410.00	3248		0.95
9325	Eventellect	111 Loge	G	2420.00	2306		0.95
9325	Eventellect	112 Loge	H	2310.00	2201		0.95
9325	Eventellect	113 Loge	A	3410.00	3248		0.95
9325	Eventellect	113 Loge	M	2288.00	2180		0.95
9325	Eventellect	114 Loge	C	2420.00	2306		0.95
9325	Eventellect	114 Loge	H	2200.00	2096		0.95
9325	Eventellect	115 Loge	E	2420.00	2306		0.95
9325	Eventellect	115 Loge	G	2420.00	2306		0.95
9325	Eventellect	116 Loge	E	2310.00	2201		0.95
9325	Eventellect	117 Loge	A	3300.00	3143		0.95
9325	Eventellect	117 Loge	C	2420.00	2306		0.95
9325	Eventellect	117 Loge	J	2310.00	2201		0.95
9325	Eventellect	118 Loge	A	3300.00	3143		0.95
9325	Eventellect	118 Loge	B	2640.00	2515		0.95
9325	Eventellect	118 Loge	D	2486.00	2368		0.95
9325	Eventellect	118 Loge	F	2354.00	2242		0.95
9325	Eventellect	119 Loge	E	2420.00	2306		0.95
9325	Eventellect	119 Loge	G	2420.00	2306		0.95
9325	Eventellect	12 Field	A	4650.00	4429		0.95
9325	Eventellect	12 Field	B	4092.00	3898		0.95
9325	Eventellect	12 Field	C	4017.60	3827		0.95
9325	Eventellect	12 Field	D	3980.40	3792		0.95
9325	Eventellect	12 Field	F	3831.60	3649		0.95
9325	Eventellect	12 Field	K	3458.00	3294		0.95
9325	Eventellect	12 Field	N	3392.14	3231		0.95
9325	Eventellect	12 TD	A	800.80	763		0.95
9325	Eventellect	12 UR	DD	819.00	781		0.95
9325	Eventellect	120 Loge	B	2640.00	2515		0.95
9325	Eventellect	120 Loge	D	2310.00	2201		0.95
9325	Eventellect	120 Loge	J	2200.00	2096		0.95
9325	Eventellect	121 Loge	E	2240.00	2134		0.95
9325	Eventellect	121 Loge	G	2240.00	2134		0.95
9325	Eventellect	121 Loge	P	2140.00	2039		0.95
9325	Eventellect	122 Loge	A	2900.00	2762		0.95
9325	Eventellect	122 Loge	C	2223.34	2118		0.95
9325	Eventellect	123 Loge	A	3000.00	2858		0.95
9325	Eventellect	123 Loge	E	2300.00	2192		0.95
9325	Eventellect	123 Loge	J	2200.00	2096		0.95
9325	Eventellect	124 Loge	A	2900.00	2762		0.95
9325	Eventellect	124 Loge	B	2262.00	2155		0.95
9325	Eventellect	124 Loge	C	2223.34	2118		0.95
9325	Eventellect	124 Loge	F	2165.34	2063		0.95
9325	Eventellect	125 Loge	A	3000.00	2858		0.95
9325	Eventellect	125 Loge	F	2300.00	2192		0.95
9325	Eventellect	125 Loge	H	2200.00	2096		0.95
9325	Eventellect	126 Loge	B	2223.34	2118		0.95
