broker_name	remote_id	ticket_section	ticket_row	ticket_count	ticket_price	event_name	event_occurs_at
Aaron Lowinger Ticketing LLC	113566839	418	10	6	162.18	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566856	420C	2	7	197.16	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566867	422	2	5	180.20	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566889	423	6	4	165.36	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566901	423	9	6	165.36	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566912	425	5	9	178.08	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566923	428	1	5	180.20	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566934	429	2	2	159.00	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	113566945	431A	1	4	174.90	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	114688356	224	12	4	397.50	ALDS: Minnesota Twins at New York Yankees (Game 5 - Home Game 3) (If Necessary)	2019-10-10
Aaron Lowinger Ticketing LLC	115486314	136 DUGOUT BOX	B	4	471.70	NLCS: TBD at St. Louis Cardinals - Home Game 1 (Date TBD) (If Necessary)	2019-10-11
Aaron Lowinger Ticketing LLC	115486328	247	3	4	397.50	NLCS: TBD at St. Louis Cardinals - Home Game 1 (Date TBD) (If Necessary)	2019-10-11
Aaron Lowinger Ticketing LLC	113566654	202	16	4	249.10	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566665	209	9	9	291.50	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566676	210	12	4	272.42	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566689	214A	12	4	438.84	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566701	224	3	4	551.20	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566712	412	1	8	217.30	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566724	413	2	3	201.40	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566735	415	2	12	233.20	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566746	415	8	3	193.98	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566757	415	9	3	189.74	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566768	415	10	16	200.34	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566779	415	11	8	196.10	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566790	416	2	6	228.96	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566803	416	9	8	198.22	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566815	417	10	5	189.74	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566827	418	2	9	241.68	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566840	418	10	6	191.86	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566857	420C	2	7	245.92	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566868	422	2	5	224.72	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566879	423	1	3	237.44	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566890	423	6	1	198.22	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566902	423	9	6	193.98	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566913	425	5	9	202.46	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566924	428	1	5	208.82	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566935	429	2	2	185.50	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566946	431A	1	6	196.10	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	114688357	224	12	4	489.72	ALCS: TBD at New York Yankees - Home Game 1 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	115486315	136 DUGOUT BOX	B	4	482.30	NLCS: TBD at St. Louis Cardinals - Home Game 2 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	115486330	247	3	4	450.50	NLCS: TBD at St. Louis Cardinals - Home Game 2 (Date TBD) (If Necessary)	2019-10-12
Aaron Lowinger Ticketing LLC	113566655	202	16	4	254.40	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566666	209	9	9	275.60	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566677	210	12	4	278.78	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566690	214A	12	4	387.96	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566702	224	3	4	593.60	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566713	412	1	8	212.00	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566725	413	2	3	212.00	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566736	415	2	12	233.20	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566747	415	8	3	186.56	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566758	415	9	3	185.50	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566769	415	10	16	196.10	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
Aaron Lowinger Ticketing LLC	113566780	415	11	8	191.86	ALCS: TBD at New York Yankees - Home Game 2 (Date TBD) (If Necessary)	2019-10-13
